Time(s),VBUS(V),IBUS(A),D+(V),D-(V),PBUS(W),Energy(Wh),Capacity(Ah),Unnamed: 8
0.0,5.1,0.00606,1.66194,2.36698,0.03093,0.0,0.0,
0.001,5.1,0.00565,2.20153,1.40031,0.02879,0.0,0.0,
0.002,5.09625,0.00544,3.1136,0.12063,0.02771,0.0,0.0,
0.003,5.09875,0.00523,3.09975,0.01467,0.02665,0.0,0.0,
0.004,5.1,0.00544,0.7295,0.95772,0.02773,0.0,0.0,
0.005,5.1,0.00565,1.68477,0.0163,0.02879,0.0,0.0,
0.006,5.1,0.00585,2.76312,1.53968,0.02986,0.0,0.0,
0.007,5.0975,0.00585,0.71971,2.19908,0.02984,0.0,0.0,
0.008,5.1,0.00606,1.34733,0.89903,0.03093,0.0,0.0,
0.009,5.10125,0.00544,1.83963,1.18349,0.02773,0.0,0.0,
0.01,5.1025,0.00544,2.13062,0.09536,0.02774,0.0,0.0,
0.011,5.09875,0.00544,2.13062,0.09536,0.02772,0.0,0.0,
0.012,5.1025,0.00523,2.19095,0.02771,0.02667,0.0,0.0,
0.013,5.10125,0.00481,3.09977,0.0163,0.02453,0.0,0.0,
0.014,5.1,0.00565,1.80134,2.07602,0.02879,0.0,0.0,
0.015,5.1,0.00544,2.66941,2.96284,0.02773,0.0,0.0,
0.016,5.10125,0.00544,2.51862,1.30169,0.02773,0.0,0.0,
0.017,5.09875,0.00544,2.90415,1.40276,0.02772,0.0,0.0,
0.018,5.09875,0.00565,2.75499,2.65147,0.02879,0.0,0.0,
0.019,5.10125,0.00502,2.78759,3.01826,0.0256,0.0,0.0,
0.02,5.10125,0.00544,2.43711,1.21203,0.02773,0.0,0.0,
0.021,5.09625,0.00565,0.43037,2.73787,0.02877,0.0,0.0,
0.022,5.1025,0.00481,0.43037,2.73787,0.02454,0.0,0.0,
0.023,5.09875,0.00544,2.27652,1.19817,0.02772,0.0,0.0,
0.024,5.09875,0.00544,2.99135,1.4484,0.02772,0.0,0.0,
0.025,5.09875,0.00544,3.09894,0.29261,0.02772,0.0,0.0,
0.026,5.0975,0.00544,1.31554,0.72053,0.02771,0.0,0.0,
0.027,5.09875,0.00585,3.06226,1.27642,0.02985,0.0,0.0,
0.028,5.0975,0.00544,0.77677,1.20795,0.02771,0.0,0.0,
0.029,5.09875,0.00481,1.82415,1.26501,0.02452,0.0,0.0,
0.03,5.09875,0.00585,0.68956,2.9131,0.02985,0.0,0.0,
0.031,5.09875,0.00544,2.19176,1.43536,0.02772,0.0,0.0,
0.032,5.09875,0.00502,0.44748,2.70852,0.02559,0.0,0.0,
0.033,5.09875,0.00502,0.44748,2.70852,0.02559,0.0,0.0,
0.034,5.1,0.00502,3.04515,0.42466,0.02559,0.0,0.0,
0.035,5.10125,0.00544,0.96995,0.9618,0.02773,0.0,0.0,
0.036,5.0975,0.00544,1.20958,1.38483,0.02771,0.0,0.0,
0.037,5.10125,0.00585,1.99777,2.20317,0.02987,0.0,0.0,
0.038,5.0975,0.00544,1.65543,1.93908,0.02771,0.0,0.0,
0.039,5.1,0.00544,1.675,0.01141,0.02773,0.0,0.0,
0.04,5.1,0.00502,2.47785,1.32532,0.02559,0.0,0.0,
0.041,5.09875,0.00502,2.37678,2.11025,0.02559,0.0,0.0,
0.042,5.09875,0.00544,1.49079,1.24056,0.02772,0.0,0.0,
0.043,5.1,0.00544,3.12584,0.4703,0.02773,0.0,0.0,
0.044,5.1,0.00585,3.12584,0.4703,0.02986,0.0,0.0,
0.045,5.10125,0.00544,1.83393,2.09965,0.02773,0.0,0.0,
0.046,5.09875,0.00523,0.42955,2.10454,0.02665,0.0,0.0,
0.047,5.09875,0.00523,3.09975,0.02282,0.02665,0.0,0.0,
0.048,5.1,0.00544,1.88447,1.53969,0.02773,0.0,0.0,
0.049,5.09875,0.00585,3.10301,0.03912,0.02985,0.0,0.0,
0.05,5.09875,0.00502,2.55935,0.89007,0.02559,0.0,0.0,
0.051,5.09875,0.00544,1.05716,1.02048,0.02772,0.0,0.0,
0.052,5.09875,0.00544,3.08263,1.19817,0.02772,0.0,0.0,
0.053,5.10125,0.00585,3.11605,0.11737,0.02987,0.0,0.0,
